STORED_PROCEDURE,PIVOT,COL_SCAN,FILES_SCANNED,WINDOW_FUNCTIONS,IN_SPROC,TABLE_ROWS,USAGE_TRACKING_REWRITERULES,STATEMENT_TYPE_ID,AGGREGATION_PLACEMENT,SAMPLE_CLAUSE,FILTER_PULLUP_FLATTEN,DUR_COMPILING,WAREHOUSE_SIZE,UNPIVOT,IS_RESTART,RECURSIVE_WITH,CONNECT_BY,LIMIT_PROJECTION_PUSHDOWN,FILTER_PUSHDOWN,LIMIT_NARY_UNION_ALL_PUSHDOWN,RUNTIME_PRUNING_MULTIPLE_BLOOM_FILTERS,IS_CACHE_HIT,NUM_TABLES,COL_PART_KEY,COL_JOIN_KEY,BYTES_SCANNED,TABLE_FILES,TOTAL_DURATION,FILTER_PUSHDOWN_FLATTEN,JAVASCRIPT,COL_GROUP_KEY,PRODUCED_ROWS,BLOOM_FILTER_HASH_SHARING,STORED_PROCEDURE_CHILD_JOB,JOIN_SKEW_HANDLING,BCAST_FAST_HT_MERGE,SMART_SCAN,USAGE_TRACKING_COMPILE,COL_JOIN_FILTER,AGGREGATION_ELIMINATION,DUR_GS_EXECUTING,SERVER_COUNT,USAGE_TRACKING_VISITORS,ROWS_SCANNED,IN_TASK,USAGE_TRACKING_IOEVENTS,DUR_XP_EXECUTING,QUALIFY_CLAUSE,COL_PART_ORDER_KEY,NARY_UNION_ALL,COL_PRUNING,LIMIT_LEFT_OUTER_JOIN_PUSHDOWN,COL_ORDER_KEY,HAS_OLTP_FLAG,HAS_RESTART,GS_JOB_CREDITS,JOB_CREDITS,NUM_EXTERNAL_TABLES,NUM_MVS,NUM_DATA_SHARING_TABLES,JOB_CREDITS.1,NUM_MVS_ON_EXTERNAL_TABLES,NUM_COPY_TARGET_TABLES,NUM_DATA_LAKE_TARGET_TABLES,VARIANT_COLUMN_ACCESS,QUEUE_TIME,XP_JOB_CREDITS,NUM_SO_MVS,NUM_CLUSTERED_OBJECTS,LATEST_CLUSTER_NUMBER,GS_MICRO_CREDITS,IO_REMOTE_EXTERNAL_WRITE_BYTES,JOB_WRITE_BYTES,JOB_READ_BYTES,NUM_CLONED_OBJECTS,FILES_CREATED,FILES_REGISTERED,GS_COPY_LOADABLE_EXTERNAL_FILES,FILTERED_FILES,STATS_FILES_SCANNED,NUM_MASKED_TABLES,SCAN_RSO,NUM_SHARED_TABLES_WITH_JOBS,NUM_TABLES_IN_SHARE,IS_ACCELERATED,NUM_TABLES_WITH_DS_TOOL_JOBS,FILES_ASSIGNED_TO_SCAN,EXTERNAL_FUNCTIONS,PYTHON_FUNCTIONS,JAVA_FUNCTIONS,NUM_ACCOUNT_USAGE_TABLES,NUM_TAGGED_TABLES,PYTHON_DS_FUNCTIONS
-1,-1,10,0,-1,0,0,-1,12544,-1,-1,-1,100,4,-1,0,-1,-1,-1,-1,-1,-1,0,1,0,0,0,0,4034,-1,-1,0,0,-1,-1,-1,-1,-1,-1,0,-1,61,1,-1,0,0,-1,26,-1,0,-1,0,-1,0,0,0,3.6e-05,5.174e-05,0,0,0,5.174e-05,0,0,0,0,3761,1.574e-05,0,0,0.0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,-1,0,0,-1,0,0,-1,12544,-1,-1,-1,27,1,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,153,-1,-1,0,0,-1,-1,-1,-1,-1,-1,0,-1,13,1,-1,0,0,-1,55,-1,0,-1,0,-1,0,0,0,1.5e-05,2.718055556e-05,0,0,0,2.718055556e-05,0,0,0,0,0,1.218055556e-05,0,0,0.0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,-1,3,0,-1,1,0,-1,12544,-1,-1,-1,77,4,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,387,-1,-1,0,14290,-1,-1,-1,-1,-1,-1,0,-1,60,1,-1,0,1,-1,133,-1,0,-1,0,-1,0,0,0,3.7e-05,0.0004298166667,0,0,0,0.0004298166667,0,0,0,0,0,0.0003928166667,0,0,0.0,37,0,712864,237568,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
-1,-1,0,0,-1,0,0,-1,12544,-1,-1,-1,172,4,-1,0,-1,-1,-1,-1,-1,-1,0,1,0,0,0,0,726,-1,-1,0,0,-1,-1,-1,-1,-1,-1,0,-1,46,1,-1,0,0,-1,10,-1,0,-1,1,-1,0,0,0,0.000109,0.000109,0,0,0,0.000109,0,0,0,0,0,0.0,0,0,1.0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,-1,1,1,-1,0,10000,-1,12544,-1,-1,-1,94,1,-1,0,-1,-1,-1,-1,-1,-1,0,1,0,0,692224,1,468,-1,-1,0,10000,-1,-1,-1,-1,-1,-1,0,-1,29,1,-1,10000,0,-1,165,-1,0,-1,0,-1,0,0,0,4.4e-05,0.001667801111,0,0,1,0.001667801111,0,0,0,0,0,0.001623801111,0,0,0.0,44,0,198656,28672,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
-1,-1,2,0,-1,0,0,-1,12544,-1,-1,-1,116,4,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,9058,-1,-1,0,1,-1,-1,-1,-1,-1,-1,0,-1,15,1,-1,0,0,-1,164,-1,0,-1,5,-1,0,0,0,3.4e-05,8.032333333e-05,0,0,0,8.032333333e-05,0,0,0,2,8668,4.632333333e-05,0,0,0.0,34,0,5120,2560,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
-1,-1,34,8,-1,1,1192730,-1,12544,-1,-1,-1,204,2,-1,0,-1,-1,-1,-1,-1,-1,0,2,0,2,107821568,8,568,-1,-1,1,3,-1,-1,-1,-1,-1,-1,0,-1,103,2,-1,1192730,1,-1,126,-1,0,-1,4,-1,0,0,0,6.7e-05,7.519e-05,0,0,0,7.519e-05,0,0,0,0,0,8.19e-06,0,1,0.0,67,0,15360,8704,0,1,1,0,0,2,0,0,0,2,0,0,9,0,0,0,0,0,0
-1,-1,4,0,-1,0,0,-1,12544,-1,-1,-1,68,1,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,441,-1,-1,0,19731,-1,-1,-1,-1,-1,-1,0,-1,52,1,-1,0,0,-1,151,-1,0,-1,0,-1,0,0,0,4e-05,0.000795295,0,0,0,0.000795295,0,0,0,0,0,0.000755295,0,0,0.0,40,0,257024,128512,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
-1,-1,0,0,-1,0,0,-1,12544,-1,-1,-1,51,1,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,291,-1,-1,0,1,-1,-1,-1,-1,-1,-1,0,-1,45,1,-1,0,0,-1,91,-1,0,-1,0,-1,0,0,0,3e-05,7.375222221e-05,0,0,0,7.375222221e-05,0,0,0,0,0,4.375222221e-05,0,0,0.0,30,0,3072,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,-1,0,0,-1,0,0,-1,12544,-1,-1,-1,47,4,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,443,-1,-1,0,1,-1,-1,-1,-1,-1,-1,0,-1,43,1,-1,0,0,-1,69,-1,0,-1,0,-1,0,0,0,3.1e-05,5.938444444e-05,0,0,0,5.938444444e-05,0,0,0,0,164,2.838444444e-05,0,0,0.0,31,0,8192,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
