col_name,col_value
REGEXP_LIKE,1
STATEMENT_TYPE_ID,14081
SYSTEM$NULL_TO_TIMESTAMP_LTZ,1
TOTAL_DURATION,FALSE
FILTER_PUSHDOWN_FLATTEN,0
TRY_TO_NUMBER,1
NTH_VALUE,1
BASE64_ENCODE,1
ZIPF,1
CHR,1
UUID_STRING,1
INTERVAL_LITERAL,1
AS_DATE,1
CURRENT_TRANSACTION,1
ARRAY_CONSTRUCT,1
STATEMENT_TYPE_ID,4096
EXTRACT,1
DUR_COMPILING,FALSE
JAVASCRIPT,0
HEX_DECODE_STRING,1
REGR_AVGY,1
RIGHT,1
ST_INTERSECTS_LNGLAT_ROUND,1
TO_VARCHAR,1
EXTRACT_ACCOUNT_ID,1
SLICETIMESTAMPTOMINUTE,1
TRY_PARSE_IP,1
COVAR_SAMP,1
SYSTEM$DATABASE_REFRESH_HISTORY,1
SYSTEM$CLUSTERING_INFORMATION_INTERNAL,1
ATAN,1
CURRENT_USER,1
DAY,1
IFNULL,1
MINUTE,1
TO_DATE,1
ARRAY_SLICE,1
DATEADD,1
POW,1
COMPRESS,1
AVG,1
SYSTEM$EXPLAIN_PLAN_JSON,1
SHA2_HEX,1
DATE_ADDQUARTERSTODATE,1
DAYOFWEEK,1
SIGN,1
SYSTEM$COMPILE,1
GET_DDL,1
COL_GROUP_KEY,FALSE
CHECK_JSON,1
VAR_POP,1
TRY_TO_BINARY,1
TRUNCDATETOQUARTER,1
*,1
REPEAT,1
SYSTEM$NULL_TO_DATE,1
PRODUCED_ROWS,TRUE
TO_BINARY,1
BLOOM_FILTER_HASH_SHARING,0
ALL_USER_NAMES,1
SYSTEM$GET_STATEMENT_PARAMETER,1
LIKE,1
ILIKE,1
LIMIT_NARY_UNION_ALL_PUSHDOWN,1
PRODUCED_ROWS,FALSE
DATE_ADDMONTHSEOMTODATE,1
SPLIT,1
DAYNAME,1
MD5,1
ARRAYS_OVERLAP,1
CASE,0
APPROX_TOP_K_ESTIMATE,1
STATEMENT_TYPE_ID,14598
CURRENT_STATEMENT,1
MD5_NUMBER,1
SUBSTR,1
MD5_BINARY,1
SYSTEM$GLOBAL_SHOW_ACCOUNT_PRIMARY_DATABASES,1
TRY_TO_TIMESTAMP_NTZ,1
APPROXIMATE_COUNT_DISTINCT,1
FILTER_PUSHDOWN,0
COL_SCAN,FALSE
REGR_SXY,1
DECRYPT,1
DATE_FROM_PARTS,1
TRY_TO_TIMESTAMP,1
PARSE_IP,1
RANDSTR,1
SQRT,1
STATEMENT_TYPE_ID,14597
-,1
WIDTH_BUCKET,1
DATE_DIFFTIMESTAMPINMINUTES,1
STATEMENT_TYPE_ID,14336
TRUNCTIMESTAMPTOMINUTE,1
JAVASCRIPT,1
TABLE_ROWS,TRUE
HLL_COMBINE,1
EQUAL_NULL,1
get_presigned_url,1
FIXED_TO_FIXED,1
ENDSWITH,1
ST_CONTAINS_LNGLAT_ROUND,1
CONCAT_WS,1
WAREHOUSE_SIZE,4
PI,1
SYSTEM$TYPEOF,1
COSH,1
CURRENT_TIMESTAMP,1
EFFECTIVE_ROLE_IDS,1
IS_CHAR,1
ROWINDEX_TO_BOOLEAN,1
CURRENT_VERSION,1
YEAROFWEEKISO,1
BASE64_DECODE_STRING,1
BETWEEN,1
RANK,1
MEDIAN,1
STORED_PROCEDURE_CHILD_JOB,1
APPROX_PERCENTILE_ESTIMATE,1
SYSTEM$STREAM_HAS_DATA,1
GEOGRAPHY_COMPUTE_INTERNAL,1
IS_BINARY,1
BOOLNOT,1
SYSTEM$GET_QUERY_DETAIL,1
JOIN_SKEW_HANDLING,1
HLL_ESTIMATE,1
GEOGRAPHY_TO_WKB,1
DATE_ADDYEARSTOTIMESTAMP,1
ARRAY_CONTAINS,1
HLL,1
SEQ8,1
DAYOFYEAR,1
CHAR,1
TRUNCTIMESTAMPTOWeek,1
ST_YMAX_INTERNAL,1
OBJECT_AGG,1
AS_VARCHAR,1
DATE_ADDYEARSTODATE,1
SLICETIMESTAMPTOHOUREND,1
LAG,1
TO_TIME,1
HASH_AGG,1
RANDOM,1
CURRENT_TIME,1
BCAST_FAST_HT_MERGE,1
SMART_SCAN,0
TRUNCTIMESTAMPTOMonth,1
SYSTEM$BOOTSTRAP_DATA_REQUEST,1
EXP,1
MONTH,1
VARIANCE_POP,1
SYSTEM$NULL_TO_VARIANT,1
ANY_VALUE,1
TRY_HEX_DECODE_BINARY,1
COERCE,1
SYSTEM$GET_FDB_AGGREGATES_REPORT,1
DEGREES,1
CONTAINS,1
SYSTEM$INTERNAL_ADMIN_TUTORIAL,1
COLLATE_TO_BINARY,1
SYSTEM$NULL_TO_OBJECT,1
SHA2_BINARY,1
AS_REAL,1
SYSTEM$FDN_FILE,1
